label,4_u1_200_p(1)
time_s,envelope_detrended
0.000000000,-0.054908
0.000113379,-0.053497
0.000226757,-0.052083
0.000340136,-0.050666
0.000453515,-0.049246
0.000566893,-0.047823
0.000680272,-0.046398
0.000793651,-0.044970
0.000907029,-0.043541
0.001020408,-0.042109
0.001133787,-0.040676
0.001247166,-0.039241
0.001360544,-0.037804
0.001473923,-0.036367
0.001587302,-0.034928
0.001700680,-0.033489
0.001814059,-0.032049
0.001927438,-0.030609
0.002040816,-0.029168
0.002154195,-0.027728
0.002267574,-0.026287
0.002380952,-0.024847
0.002494331,-0.023407
0.002607710,-0.021967
0.002721088,-0.020528
0.002834467,-0.019090
0.002947846,-0.017653
0.003061224,-0.016218
0.003174603,-0.014783
0.003287982,-0.013350
0.003401361,-0.011918
0.003514739,-0.010488
0.003628118,-0.009060
0.003741497,-0.007633
0.003854875,-0.006209
0.003968254,-0.004787
0.004081633,-0.003366
0.004195011,-0.001949
0.004308390,-0.000533
0.004421769,0.000880
0.004535147,0.002290
0.004648526,0.003698
0.004761905,0.005103
0.004875283,0.006505
0.004988662,0.007904
0.005102041,0.009300
0.005215420,0.010693
0.005328798,0.012083
0.005442177,0.013470
0.005555556,0.014853
0.005668934,0.016233
0.005782313,0.017610
0.005895692,0.018983
0.006009070,0.020352
0.006122449,0.021718
0.006235828,0.023080
0.006349206,0.024439
0.006462585,0.025793
0.006575964,0.027144
0.006689342,0.028491
0.006802721,0.029834
0.006916100,0.031173
0.007029478,0.032508
0.007142857,0.033839
0.007256236,0.035166
0.007369615,0.036489
0.007482993,0.037808
0.007596372,0.039122
0.007709751,0.040433
0.007823129,0.041739
0.007936508,0.043040
0.008049887,0.044338
0.008163265,0.045631
0.008276644,0.046920
0.008390023,0.048205
0.008503401,0.049485
0.008616780,0.050761
0.008730159,0.052033
0.008843537,0.053301
0.008956916,0.054564
0.009070295,0.055823
0.009183673,0.057077
0.009297052,0.058328
0.009410431,0.059574
0.009523810,0.060815
0.009637188,0.062053
0.009750567,0.063286
0.009863946,0.064515
0.009977324,0.065740
0.010090703,0.066960
0.010204082,0.068177
