key,value,unit
file_name,12_u1_80_p.wav,
label,12_u1_80_p,
file_path,/home/milsonson/ai转速/recordings/12_u1_80_p.wav,
sample_rate,44100.000,Hz
analysis_sample_rate,8820.000,Hz
decimate_k,5,
decimate_ratio,0.200000,
channels,2,
sample_format,int16,
frames,843190,samples
duration,19.119955,s
center_duration,8.000000,s
export_slices,yes,
split_window_size,1.000000,s
split_hop_size,0.500000,s
split_window_count,15,
split_window_samples,8820,samples
analysis_frames,70560,samples
analysis_duration,8.000000,s
analysis_start_s,5.559977,s
analysis_end_s,13.559977,s
channel_mode,mean,
channel_selected,mean,
channel_rms,"6108.026,11590.070",
channel_corr_lr,-0.869,
mean_amplitude,-0.000002,
rms_amplitude,0.176511,
peak_amplitude,0.687282,
crest_factor,3.893711,
crest_factor_db,11.807,dB
dominant_freq,3000.000,Hz
spectral_centroid,1623.871,Hz
spectral_bandwidth,1386.456,Hz
inst_freq_mean,2983.092,Hz
inst_freq_median,2999.093,Hz
envelope_peak_freq,1.500,Hz
envelope_peak_period,0.667,s
envelope_peak_db,-34.871,dB
envelope_cutoff,20.000,Hz
envelope_max_freq,50.000,Hz
envelope_detrend_cutoff,1.000,Hz
envelope_detrend_applied,yes,
envelope_norm_mode,detrended-max,
envelope_norm_scale,1033.540771,
bandpass_enabled,yes,
