time_s,envelope_detrended
0.000000000,0.004857
0.000113379,0.004269
0.000226757,0.003673
0.000340136,0.003069
0.000453515,0.002456
0.000566893,0.001834
0.000680272,0.001202
0.000793651,0.000562
0.000907029,-0.000088
0.001020408,-0.000749
0.001133787,-0.001419
0.001247166,-0.002099
0.001360544,-0.002788
0.001473923,-0.003489
0.001587302,-0.004200
0.001700680,-0.004922
0.001814059,-0.005653
0.001927438,-0.006395
0.002040816,-0.007149
0.002154195,-0.007913
0.002267574,-0.008689
0.002380952,-0.009475
0.002494331,-0.010274
0.002607710,-0.011082
0.002721088,-0.011903
0.002834467,-0.012734
0.002947846,-0.013577
0.003061224,-0.014433
0.003174603,-0.015299
0.003287982,-0.016176
0.003401361,-0.017065
0.003514739,-0.017966
0.003628118,-0.018877
0.003741497,-0.019802
0.003854875,-0.020736
0.003968254,-0.021682
0.004081633,-0.022640
0.004195011,-0.023609
0.004308390,-0.024588
0.004421769,-0.025580
0.004535147,-0.026582
0.004648526,-0.027595
0.004761905,-0.028618
0.004875283,-0.029653
0.004988662,-0.030698
0.005102041,-0.031753
0.005215420,-0.032819
0.005328798,-0.033895
0.005442177,-0.034981
0.005555556,-0.036077
0.005668934,-0.037183
0.005782313,-0.038298
0.005895692,-0.039424
0.006009070,-0.040557
0.006122449,-0.041700
0.006235828,-0.042854
0.006349206,-0.044014
0.006462585,-0.045185
0.006575964,-0.046363
0.006689342,-0.047550
0.006802721,-0.048746
0.006916100,-0.049949
0.007029478,-0.051159
0.007142857,-0.052377
0.007256236,-0.053602
0.007369615,-0.054835
0.007482993,-0.056074
0.007596372,-0.057319
0.007709751,-0.058571
0.007823129,-0.059828
0.007936508,-0.061092
0.008049887,-0.062360
0.008163265,-0.063635
0.008276644,-0.064914
0.008390023,-0.066198
0.008503401,-0.067486
0.008616780,-0.068779
0.008730159,-0.070076
0.008843537,-0.071378
0.008956916,-0.072683
0.009070295,-0.073991
0.009183673,-0.075303
0.009297052,-0.076619
0.009410431,-0.077937
0.009523810,-0.079258
0.009637188,-0.080581
0.009750567,-0.081908
0.009863946,-0.083236
0.009977324,-0.084566
0.010090703,-0.085899
0.010204082,-0.087234
0.010317460,-0.088570
0.010430839,-0.089907
0.010544218,-0.091247
0.010657596,-0.092586
0.010770975,-0.093927
0.010884354,-0.095270
0.010997732,-0.096612
0.011111111,-0.097956
0.011224490,-0.099300
0.011337868,-0.100643
0.011451247,-0.101987
0.011564626,-0.103331
0.011678005,-0.104675
0.011791383,-0.106019
0.011904762,-0.107362
0.012018141,-0.108705
0.012131519,-0.110046
0.012244898,-0.111388
0.012358277,-0.112727
0.012471655,-0.114067
0.012585034,-0.115406
0.012698413,-0.116743
0.012811791,-0.118079
0.012925170,-0.119415
0.013038549,-0.120748
0.013151927,-0.122080
0.013265306,-0.123410
0.013378685,-0.124740
0.013492063,-0.126067
0.013605442,-0.127393
0.013718821,-0.128717
0.013832200,-0.130038
0.013945578,-0.131359
0.014058957,-0.132678
0.014172336,-0.133994
0.014285714,-0.135308
0.014399093,-0.136620
0.014512472,-0.137929
0.014625850,-0.139237
0.014739229,-0.140543
0.014852608,-0.141846
0.014965986,-0.143147
0.015079365,-0.144445
0.015192744,-0.145742
0.015306122,-0.147037
0.015419501,-0.148329
0.015532880,-0.149619
0.015646259,-0.150908
0.015759637,-0.152194
0.015873016,-0.153478
0.015986395,-0.154761
0.016099773,-0.156041
0.016213152,-0.157320
0.016326531,-0.158598
0.016439909,-0.159873
0.016553288,-0.161148
0.016666667,-0.162421
0.016780045,-0.163692
0.016893424,-0.164962
0.017006803,-0.166231
0.017120181,-0.167500
0.017233560,-0.168767
0.017346939,-0.170033
0.017460317,-0.171297
0.017573696,-0.172562
0.017687075,-0.173826
0.017800454,-0.175088
0.017913832,-0.176351
0.018027211,-0.177612
0.018140590,-0.178873
0.018253968,-0.180133
0.018367347,-0.181394
0.018480726,-0.182654
0.018594104,-0.183913
0.018707483,-0.185172
0.018820862,-0.186430
0.018934240,-0.187688
0.019047619,-0.188946
0.019160998,-0.190204
0.019274376,-0.191461
0.019387755,-0.192719
0.019501134,-0.193976
0.019614512,-0.195232
0.019727891,-0.196489
0.019841270,-0.197745
0.019954649,-0.199002
0.020068027,-0.200258
0.020181406,-0.201514
0.020294785,-0.202770
0.020408163,-0.204026
0.020521542,-0.205283
0.020634921,-0.206539
0.020748299,-0.207795
0.020861678,-0.209051
0.020975057,-0.210308
0.021088435,-0.211566
0.021201814,-0.212822
0.021315193,-0.214079
0.021428571,-0.215337
0.021541950,-0.216593
0.021655329,-0.217851
0.021768707,-0.219108
0.021882086,-0.220365
0.021995465,-0.221622
0.022108844,-0.222879
0.022222222,-0.224136
0.022335601,-0.225393
0.022448980,-0.226648
0.022562358,-0.227904
0.022675737,-0.229159
0.022789116,-0.230414
0.022902494,-0.231667
0.023015873,-0.232921
0.023129252,-0.234174
0.023242630,-0.235425
0.023356009,-0.236675
0.023469388,-0.237924
0.023582766,-0.239171
0.023696145,-0.240418
0.023809524,-0.241662
0.023922902,-0.242905
0.024036281,-0.244145
0.024149660,-0.245383
0.024263039,-0.246620
0.024376417,-0.247854
0.024489796,-0.249084
0.024603175,-0.250313
